question_id,question_name,question_content,option_id,option_content,option_correct,skill_ids
9,Code_OOPExtern_00030,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	enum Exam
	{
		Exam1 = 1,
		Exam2,
		Exam3
	};
	int var_x = Exam3;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_x;
	ref_x = Exam2;
	cout &lt;&lt; ref_y--;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",41,"<p>1</p>
",0,1
9,Code_OOPExtern_00030,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	enum Exam
	{
		Exam1 = 1,
		Exam2,
		Exam3
	};
	int var_x = Exam3;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_x;
	ref_x = Exam2;
	cout &lt;&lt; ref_y--;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",42,"<p>2</p>
",1,1
9,Code_OOPExtern_00030,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	enum Exam
	{
		Exam1 = 1,
		Exam2,
		Exam3
	};
	int var_x = Exam3;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_x;
	ref_x = Exam2;
	cout &lt;&lt; ref_y--;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",43,"<p>3</p>
",0,1
9,Code_OOPExtern_00030,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	enum Exam
	{
		Exam1 = 1,
		Exam2,
		Exam3
	};
	int var_x = Exam3;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_x;
	ref_x = Exam2;
	cout &lt;&lt; ref_y--;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",44,"<p>Runtime Error</p>
",0,1
9,Code_OOPExtern_00030,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	enum Exam
	{
		Exam1 = 1,
		Exam2,
		Exam3
	};
	int var_x = Exam3;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_x;
	ref_x = Exam2;
	cout &lt;&lt; ref_y--;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",1225,"<p>Another Answer</p>
",0,1
10,Extern_0004,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 0;
	int&amp; ref_x = var_x;
	ref_x = 4;
	while (var_x &lt;= 4)
	{
		cout &lt;&lt; ref_x++;
		var_x++;
	}
	cout &lt;&lt; var_x;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",45,"<p>45678</p>
",0,1
10,Extern_0004,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 0;
	int&amp; ref_x = var_x;
	ref_x = 4;
	while (var_x &lt;= 4)
	{
		cout &lt;&lt; ref_x++;
		var_x++;
	}
	cout &lt;&lt; var_x;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",46,"<p>456786</p>
",0,1
10,Extern_0004,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 0;
	int&amp; ref_x = var_x;
	ref_x = 4;
	while (var_x &lt;= 4)
	{
		cout &lt;&lt; ref_x++;
		var_x++;
	}
	cout &lt;&lt; var_x;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",47,"<p>46</p>
",1,1
10,Extern_0004,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 0;
	int&amp; ref_x = var_x;
	ref_x = 4;
	while (var_x &lt;= 4)
	{
		cout &lt;&lt; ref_x++;
		var_x++;
	}
	cout &lt;&lt; var_x;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",48,"<p>Compile Error</p>
",0,1
10,Extern_0004,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 0;
	int&amp; ref_x = var_x;
	ref_x = 4;
	while (var_x &lt;= 4)
	{
		cout &lt;&lt; ref_x++;
		var_x++;
	}
	cout &lt;&lt; var_x;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",49,"<p>Runtime Error</p>
",0,1
10,Extern_0004,"<p>Kết quả thực thi đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 0;
	int&amp; ref_x = var_x;
	ref_x = 4;
	while (var_x &lt;= 4)
	{
		cout &lt;&lt; ref_x++;
		var_x++;
	}
	cout &lt;&lt; var_x;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",50,"<p>Another Answer</p>
",0,1
11,Extern_0005,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_y;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",51,"<p>26</p>
",0,1
11,Extern_0005,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_y;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",52,"<p>37</p>
",0,1
11,Extern_0005,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_y;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",53,"<p>48</p>
",1,1
11,Extern_0005,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_y;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",54,"<p>59</p>
",0,1
11,Extern_0005,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x;
	int&amp; ref_y = var_y;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",55,"<p>Another Answer</p>
",0,1
12,Extern_0006,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x++;
	int&amp; ref_y = var_y++;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",56,"<p>48</p>
",0,1
12,Extern_0006,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x++;
	int&amp; ref_y = var_y++;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",57,"<p>59</p>
",0,1
12,Extern_0006,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x++;
	int&amp; ref_y = var_y++;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",58,"<p>610</p>
",0,1
12,Extern_0006,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x++;
	int&amp; ref_y = var_y++;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",59,"<p>Compile Error</p>
",1,1
12,Extern_0006,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x++;
	int&amp; ref_y = var_y++;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",60,"<p>Runtime Error</p>
",0,1
12,Extern_0006,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 2, var_y = 6;
	int&amp; ref_x = var_x++;
	int&amp; ref_y = var_y++;
	var_x = ref_x++; ref_x = var_x++;
	var_y = ref_y++; ref_y = var_y++;
	cout &lt;&lt; var_x &lt;&lt; var_y;
	return 0;
}</code></pre>

<p>&nbsp;</p>
",61,"<p>Another Answer</p>
",0,1
13,Extern_0007,"<p>Với gi&aacute; trị n&agrave;o của <strong>var</strong> th&igrave; v&ograve;ng lặp l&agrave; v&ocirc; tận?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 1;
	while (true)
	{
		cout &lt;&lt; var_x;
		if (var_x == 3)
			break;
		var_x += 3;
	}
	return 0;
}</code></pre>

<p>&nbsp;</p>
",62,"<p>0</p>
",0,1
13,Extern_0007,"<p>Với gi&aacute; trị n&agrave;o của <strong>var</strong> th&igrave; v&ograve;ng lặp l&agrave; v&ocirc; tận?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 1;
	while (true)
	{
		cout &lt;&lt; var_x;
		if (var_x == 3)
			break;
		var_x += 3;
	}
	return 0;
}</code></pre>

<p>&nbsp;</p>
",63,"<p>1</p>
",0,1
13,Extern_0007,"<p>Với gi&aacute; trị n&agrave;o của <strong>var</strong> th&igrave; v&ograve;ng lặp l&agrave; v&ocirc; tận?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 1;
	while (true)
	{
		cout &lt;&lt; var_x;
		if (var_x == 3)
			break;
		var_x += 3;
	}
	return 0;
}</code></pre>

<p>&nbsp;</p>
",64,"<p>2</p>
",0,1
13,Extern_0007,"<p>Với gi&aacute; trị n&agrave;o của <strong>var</strong> th&igrave; v&ograve;ng lặp l&agrave; v&ocirc; tận?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 1;
	while (true)
	{
		cout &lt;&lt; var_x;
		if (var_x == 3)
			break;
		var_x += 3;
	}
	return 0;
}</code></pre>

<p>&nbsp;</p>
",65,"<p>1 hoặc 2</p>
",0,1
13,Extern_0007,"<p>Với gi&aacute; trị n&agrave;o của <strong>var</strong> th&igrave; v&ograve;ng lặp l&agrave; v&ocirc; tận?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	int var_x = 1;
	while (true)
	{
		cout &lt;&lt; var_x;
		if (var_x == 3)
			break;
		var_x += 3;
	}
	return 0;
}</code></pre>

<p>&nbsp;</p>
",66,"<p>Another Answer</p>
",1,1
14,Extern_0008,"<p>Với c&acirc;u lệnh n&agrave;o th&igrave; gi&aacute; trị của biến <strong>var_x</strong>&nbsp;kh&ocirc;ng thay đổi?</p>
",67,"<pre>
<code class=""language-cpp"">var_x = var_x++;</code></pre>

<p>&nbsp;</p>
",0,1
14,Extern_0008,"<p>Với c&acirc;u lệnh n&agrave;o th&igrave; gi&aacute; trị của biến <strong>var_x</strong>&nbsp;kh&ocirc;ng thay đổi?</p>
",68,"<pre>
<code class=""language-cpp"">var_x += var_x--;</code></pre>

<p>&nbsp;</p>
",0,1
14,Extern_0008,"<p>Với c&acirc;u lệnh n&agrave;o th&igrave; gi&aacute; trị của biến <strong>var_x</strong>&nbsp;kh&ocirc;ng thay đổi?</p>
",69,"<pre>
<code class=""language-cpp"">var_x = --var_x + 1;</code></pre>

<p>&nbsp;</p>
",1,1
14,Extern_0008,"<p>Với c&acirc;u lệnh n&agrave;o th&igrave; gi&aacute; trị của biến <strong>var_x</strong>&nbsp;kh&ocirc;ng thay đổi?</p>
",70,"<p>Another Answer</p>
",0,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",71,"<p>123IT</p>
",0,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",72,"<p>1IT</p>
",0,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",73,"<p>IT</p>
",1,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",74,"<p>12IT</p>
",0,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",75,"<p>Runtime Error</p>
",0,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",76,"<p>Compile Error</p>
",0,1
15,Extern_0009,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int main()
{
	for (int var_x = 1; var_x &gt; 3; var_x++)
		cout &lt;&lt; var_x;
	cout &lt;&lt; ""IT"";
	return 0;
}</code></pre>

<p>&nbsp;</p>
",77,"<p>Another Answer</p>
",0,1
16,Extern_0015,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
static int Func(int var_x, int var_y)
{
	return (var_x % var_y == 0) 
		? var_x / var_y + 2 
		: var_x - Func(var_y, var_x + 1);
}
int main()
{
	cout &lt;&lt; Func(7, 3);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",78,"<p>8</p>
",1,1
16,Extern_0015,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
static int Func(int var_x, int var_y)
{
	return (var_x % var_y == 0) 
		? var_x / var_y + 2 
		: var_x - Func(var_y, var_x + 1);
}
int main()
{
	cout &lt;&lt; Func(7, 3);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",79,"<p>10</p>
",0,1
16,Extern_0015,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
static int Func(int var_x, int var_y)
{
	return (var_x % var_y == 0) 
		? var_x / var_y + 2 
		: var_x - Func(var_y, var_x + 1);
}
int main()
{
	cout &lt;&lt; Func(7, 3);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",80,"<p>6</p>
",0,1
16,Extern_0015,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
static int Func(int var_x, int var_y)
{
	return (var_x % var_y == 0) 
		? var_x / var_y + 2 
		: var_x - Func(var_y, var_x + 1);
}
int main()
{
	cout &lt;&lt; Func(7, 3);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",81,"<p>Compile Error</p>
",0,1
16,Extern_0015,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
static int Func(int var_x, int var_y)
{
	return (var_x % var_y == 0) 
		? var_x / var_y + 2 
		: var_x - Func(var_y, var_x + 1);
}
int main()
{
	cout &lt;&lt; Func(7, 3);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",82,"<p>Runtime Error</p>
",0,1
16,Extern_0015,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
static int Func(int var_x, int var_y)
{
	return (var_x % var_y == 0) 
		? var_x / var_y + 2 
		: var_x - Func(var_y, var_x + 1);
}
int main()
{
	cout &lt;&lt; Func(7, 3);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",1226,"<p>Another Answer</p>
",0,1
17,Extern_0010,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int Func(int var_x)
{
	return ((var_x % 3 == 0) &amp;&amp; (var_x &gt; 0))
		? 1 + Func(4 + Func(var_x - 3))
		: (var_x % 2 == 0 ? Func(var_x + 1) : var_x + 2);
}
int main()
{
	cout &lt;&lt; Func(2);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",83,"<p>7</p>
",0,1
17,Extern_0010,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int Func(int var_x)
{
	return ((var_x % 3 == 0) &amp;&amp; (var_x &gt; 0))
		? 1 + Func(4 + Func(var_x - 3))
		: (var_x % 2 == 0 ? Func(var_x + 1) : var_x + 2);
}
int main()
{
	cout &lt;&lt; Func(2);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",84,"<p>10</p>
",1,1
17,Extern_0010,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int Func(int var_x)
{
	return ((var_x % 3 == 0) &amp;&amp; (var_x &gt; 0))
		? 1 + Func(4 + Func(var_x - 3))
		: (var_x % 2 == 0 ? Func(var_x + 1) : var_x + 2);
}
int main()
{
	cout &lt;&lt; Func(2);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",85,"<p>6</p>
",0,1
17,Extern_0010,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int Func(int var_x)
{
	return ((var_x % 3 == 0) &amp;&amp; (var_x &gt; 0))
		? 1 + Func(4 + Func(var_x - 3))
		: (var_x % 2 == 0 ? Func(var_x + 1) : var_x + 2);
}
int main()
{
	cout &lt;&lt; Func(2);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",86,"<p>8</p>
",0,1
17,Extern_0010,"<p>Kết quả thực hiện đoạn chương tr&igrave;nh sau l&agrave; g&igrave;?</p>

<pre>
<code class=""language-cpp"">#include &lt;iostream&gt;
using namespace std;
int Func(int var_x)
{
	return ((var_x % 3 == 0) &amp;&amp; (var_x &gt; 0))
		? 1 + Func(4 + Func(var_x - 3))
		: (var_x % 2 == 0 ? Func(var_x + 1) : var_x + 2);
}
int main()
{
	cout &lt;&lt; Func(2);
	return 0;
}</code></pre>

<p>&nbsp;</p>
",87,"<p>Another Answer</p>
",0,1
